nm,sc,mc,lc,rh,mel,v
556,0.000602887,0.928274000,0.974756000,0.386400000,0.152601000,0.999856700000
557,0.000547062,0.919667000,0.978055000,0.371500000,0.143487000,0.999304600000
558,0.000496461,0.910356000,0.980819000,0.356900000,0.134748000,0.998325500000
559,0.000450571,0.900677000,0.983271000,0.342700000,0.126416000,0.996898700000
560,0.000408931,0.890949000,0.985636000,0.328800000,0.118526000,0.995000000000
561,0.000371136,0.881386000,0.988085000,0.315100000,0.111007000,0.992600500000
562,0.000336838,0.871834000,0.990560000,0.301800000,0.103793000,0.989742600000
563,0.000305723,0.862059000,0.992945000,0.288800000,0.096920600,0.986444400000
564,0.000277504,0.851840000,0.995124000,0.276200000,0.090425900,0.982724100000
565,0.000251918,0.840969000,0.996979000,0.263900000,0.084345700,0.978600000000
566,0.000228725,0.829303000,0.998411000,0.251900000,0.078619800,0.974083700000
567,0.000207699,0.816911000,0.999391000,0.240300000,0.073175000,0.969171200000
568,0.000188638,0.803910000,0.999912000,0.229100000,0.068028800,0.963856800000
569,0.000171357,0.790413000,0.999965000,0.218200000,0.063198400,0.958134900000
570,0.000155688,0.776526000,0.999543000,0.207600000,0.058701300,0.952000000000
571,0.000141480,0.762311000,0.998615000,0.197400000,0.054483200,0.945450400000
572,0.000128596,0.747669000,0.997051000,0.187600000,0.050488900,0.938499200000
573,0.000116912,0.732476000,0.994701000,0.178200000,0.046734400,0.931162800000
574,0.000106316,0.716622000,0.991416000,0.169000000,0.043235700,0.923457600000
575,0.000096705,0.700013000,0.987057000,0.160200000,0.040008900,0.915400000000
576,0.000087986,0.682647000,0.981599000,0.151700000,0.037010200,0.907006400000
577,0.000080076,0.664817000,0.975451000,0.143600000,0.034190300,0.898277200000
578,0.000072898,0.646858000,0.969120000,0.135800000,0.031556200,0.889204800000
579,0.000066384,0.629072000,0.963093000,0.128400000,0.029115300,0.879781600000
580,0.000060471,0.611728000,0.957841000,0.121200000,0.026874700,0.870000000000
581,0.000055102,0.594998000,0.953664000,0.114300000,0.024801400,0.859861300000
582,0.000050227,0.578783000,0.950236000,0.107800000,0.022859700,0.849392000000
583,0.000045799,0.562935000,0.947086000,0.101500000,0.021053400,0.838622000000
584,0.000041776,0.547321000,0.943752000,0.095600000,0.019386400,0.827581300000
585,0.000038120,0.531825000,0.939781000,0.089900000,0.017862400,0.816300000000
586,0.000034797,0.516354000,0.934826000,0.084500000,0.016457800,0.804794700000
